Time,ALT from MPL ,ALT Prototype ,,,,
1/26/26 12:05 AM,2099,2074,,,,
1/26/26 12:35 AM,2129,2104,,,,
1/26/26 1:05 AM,2099,2070,,,,
1/26/26 1:35 AM,2039,2051,,,,
1/26/26 2:05 AM,2099,2074,,,,
1/26/26 2:35 AM,2099,2055,,,,
1/26/26 3:05 AM,2129,2111,,,,
1/26/26 3:35 AM,2129,2081,,,,
1/26/26 4:05 AM,2069,2033,,,,
1/26/26 4:35 AM,2039,1999,,,,
1/26/26 5:05 AM,2099,2085,,,,
1/26/26 5:35 AM,2129,2078,,,,
1/26/26 6:05 AM,2129,2096,,,,
1/26/26 6:35 AM,2159,2126,,,,
1/26/26 7:05 AM,1889,2134,,,,
1/26/26 7:35 AM,2188,2366,,,,
1/26/26 8:05 AM,2188,2486,,,,
1/26/26 8:35 AM,2218,2344,,,,
1/26/26 9:05 AM,2188,2314,,,,
1/26/26 9:35 AM,2099,2201,,,,
1/26/26 10:05 AM,2159,2168,,,,
1/26/26 10:35 AM,2129,2258,,,,
1/26/26 11:05 AM,2159,2179,,,,
1/26/26 11:35 AM,2188,1980,,,,
1/26/26 12:05 PM,2159,1946,,,,
1/26/26 12:35 PM,2129,2426,,,,
1/26/26 1:05 PM,2159,1886,,,,
1/26/26 1:35 PM,2188,2325,,,,
1/26/26 2:05 PM,2218,1988,,,,
1/26/26 2:35 PM,2218,2471,,,,
1/26/26 3:05 PM,2129,2348,,,,
1/26/26 3:35 PM,2218,2231,,,,
1/26/26 4:05 PM,1949,2096,,,,
1/26/26 4:35 PM,2218,2389,,,,
1/26/26 5:05 PM,2308,2329,,,,
1/26/26 5:35 PM,1979,1909,,,,
1/26/26 6:05 PM,2248,2216,,,,
1/26/26 6:35 PM,2368,2306,,,,
1/26/26 7:05 PM,2458,2385,,,,
1/26/26 7:35 PM,2278,2389,,,,
1/26/26 8:05 PM,2308,2370,,,,
1/26/26 8:35 PM,2039,2336,,,,
1/26/26 9:05 PM,2039,2336,,,,
1/26/26 9:35 PM,1859,1628,,,,
1/26/26 10:05 PM,1799,1568,,,,
1/26/26 10:35 PM,2099,2250,,,,
1/26/26 11:05 PM,2009,2231,,,,
1/26/26 11:35 PM,1949,2194,,,,
1/27/26 3:05 PM,2188,2134,,,,
1/27/26 3:35 PM,2218,2340,,,,
1/27/26 4:05 PM,2069,2231,,,,
1/27/26 4:35 PM,2009,2295,,,,
1/27/26 5:05 PM,2039,2201,,,,
1/27/26 6:05 PM,1829,,,,,
1/27/26 6:35 PM,1619,1328,,,,
1/27/26 7:05 PM,2129,2201,,,,
1/27/26 7:35 PM,2188,2205,,,,
1/27/26 8:05 PM,2009,2051,,,,
1/27/26 8:35 PM,1889,2089,,,,
1/27/26 9:05 PM,2159,2186,,,,
1/27/26 9:35 PM,2159,2093,,,,
1/27/26 10:05 PM,2129,2153,,,,
1/27/26 10:35 PM,2099,2089,,,,
1/27/26 11:05 PM,2039,2010,,,,
1/27/26 11:35 PM,2069,2081,,,,
1/28/26 12:05 AM,2099,2104,,,,
1/28/26 12:35 AM,2129,2100,,,,
1/28/26 1:05 AM,2129,2108,,,,
1/28/26 1:35 AM,1919,2156,,,,
1/28/26 2:05 AM,2129,2074,,,,
1/28/26 2:35 AM,2099,2085,,,,
1/28/26 3:05 AM,1739,1440,,,,
1/28/26 3:35 AM,2039,2115,,,,
1/28/26 4:05 AM,2069,2123,,,,
1/28/26 4:35 AM,1859,2081,,,,
1/28/26 5:05 AM,1889,2104,,,,
1/28/26 5:35 AM,1949,2119,,,,
1/28/26 6:05 AM,1919,2070,,,,
1/28/26 6:35 AM,1799,2066,,,,
1/28/26 7:05 AM,1889,2096,,,,
1/28/26 7:35 AM,1979,2074,,,,
1/28/26 8:05 AM,1949,2089,,,,
1/28/26 8:35 AM,1919,2104,,,,
1/28/26 9:05 AM,2069,2205,,,,
1/28/26 9:35 AM,1919,2059,,,,
1/28/26 10:05 AM,1889,2033,,,,
1/28/26 10:35 AM,1799,1811,,,,
1/28/26 11:05 AM,2069,2205,,,,
1/28/26 11:35 AM,2039,2160,,,,
1/28/26 12:05 PM,1979,2209,,,,
1/28/26 12:35 PM,2248,2318,,,,
1/28/26 1:05 PM,2218,2160,,,,
1/28/26 1:35 PM,2188,2119,,,,
1/28/26 2:05 PM,2159,2115,,,,
1/28/26 2:35 PM,2248,2213,,,,
1/28/26 3:05 PM,2218,2434,,,,
1/28/26 3:35 PM,2129,2108,,,,
1/28/26 4:05 PM,2278,2235,,,,
1/28/26 4:35 PM,2129,2426,,,,
1/28/26 5:05 PM,2338,2636,,,,
1/28/26 5:35 PM,2338,,,,,
1/28/26 6:05 PM,2308,2569,,,,
1/28/26 6:35 PM,2338,2306,,,,
1/28/26 7:05 PM,1949,2063,,,,
1/28/26 7:35 PM,2308,2258,,,,
1/28/26 8:05 PM,1979,2273,,,,
1/28/26 8:35 PM,2009,2254,,,,
1/28/26 9:05 PM,2188,2370,,,,
1/28/26 9:35 PM,2099,2381,,,,
1/28/26 10:05 PM,2218,2396,,,,
1/28/26 10:35 PM,2069,2366,,,,
1/28/26 11:05 PM,1919,1620,,,,
1/28/26 11:35 PM,1919,1725,,,,
1/29/26 12:05 AM,1949,2228,,,,
1/29/26 12:35 AM,2099,2336,,,,
1/29/26 1:05 AM,1979,2276,,,,
1/29/26 1:35 AM,1829,1916,,,,
1/29/26 2:05 AM,1919,2216,,,,
1/29/26 2:35 AM,2099,2243,,,,
1/29/26 3:05 AM,1919,2186,,,,
1/29/26 3:35 AM,1979,2096,,,,
1/29/26 4:05 AM,2069,2205,,,,
1/29/26 4:35 AM,2039,2138,,,,
1/29/26 5:05 AM,2069,2115,,,,
1/29/26 5:35 AM,2039,2111,,,,
1/29/26 6:05 AM,2039,2171,,,,
1/29/26 6:35 AM,2159,2209,,,,
1/29/26 7:05 AM,2159,2370,,,,
1/29/26 7:35 AM,1949,2246,,,,
1/29/26 8:05 AM,2069,2179,,,,
1/29/26 8:35 AM,1949,2213,,,,
1/29/26 9:05 AM,2218,2175,,,,
1/29/26 9:35 AM,1979,2141,,,,
1/29/26 10:05 AM,2188,2149,,,,
1/29/26 10:35 AM,2278,2213,,,,
1/29/26 11:05 AM,2159,2228,,,,
1/29/26 11:35 AM,2278,2231,,,,
1/29/26 12:05 PM,,,,,,
1/29/26 12:35 PM,2218,2246,,,,
1/29/26 1:05 PM,2129,2348,,,,
1/29/26 1:35 PM,2159,2048,,,,
1/29/26 2:05 PM,2159,2111,,,,
1/29/26 2:35 PM,2159,2299,,,,
1/29/26 3:05 PM,2188,2003,,,,
1/29/26 3:35 PM,2308,2498,,,,
1/29/26 4:05 PM,2248,1965,,,,
1/29/26 4:35 PM,1949,1871,,,,
1/29/26 5:05 PM,1979,,,,,
1/29/26 5:35 PM,1799,,,,,
1/29/26 6:05 PM,2099,,,,,
1/29/26 6:35 PM,2338,2321,,,,
1/29/26 7:05 PM,2278,2284,,,,
1/29/26 7:35 PM,1919,2138,,,,
1/29/26 8:05 PM,2069,2366,,,,
1/29/26 8:35 PM,1979,2156,,,,
1/29/26 9:05 PM,2069,2288,,,,
1/29/26 9:35 PM,1919,2198,,,,
1/29/26 10:05 PM,1889,1628,,,,
1/29/26 10:35 PM,1529,1444,,,,
1/29/26 11:05 PM,2278,2411,,,,
1/29/26 11:35 PM,2039,2171,,,,
1/30/26 9:35 AM,2069,1988,,,,
1/30/26 10:05 AM,2039,2284,,,,
1/30/26 10:35 AM,2039,1965,,,,
1/30/26 11:05 AM,2069,2359,,,,
1/30/26 11:35 AM,2069,1988,,,,
1/30/26 12:05 PM,2039,2291,,,,
1/30/26 12:35 PM,2099,2190,,,,
1/30/26 1:05 PM,2099,2318,,,,
1/30/26 1:35 PM,2159,2179,,,,
1/30/26 2:05 PM,2009,2269,,,,
1/30/26 2:35 PM,2159,,,,,
1/30/26 3:05 PM,2009,2273,,,,
1/30/26 3:35 PM,2009,2243,,,,
1/30/26 4:05 PM,1769,2018,,,,
1/30/26 4:35 PM,1859,1928,,,,
1/30/26 5:05 PM,1769,1819,,,,
1/30/26 5:35 PM,1919,1860,,,,
1/30/26 6:05 PM,2338,2344,,,,
1/30/26 6:35 PM,2428,2408,,,,
1/30/26 7:05 PM,2398,2490,,,,
1/30/26 7:35 PM,2278,2554,,,,
1/30/26 8:05 PM,2308,2524,,,,
1/30/26 8:35 PM,2248,2441,,,,
1/30/26 9:05 PM,2398,2524,,,,
1/30/26 9:35 PM,2458,2471,,,,
1/30/26 10:05 PM,2188,2434,,,,
1/30/26 10:35 PM,2368,2408,,,,
1/30/26 11:05 PM,2338,2494,,,,
1/30/26 11:35 PM,2308,2314,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
